# LNAmplifier EEPROM Calibration Data
# Generated: 2025-11-05 20:11:05
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
199.526230,60.615986,60.602394,60.571831
211.348907,60.620415,60.605904,60.568188
223.872116,60.62019,60.607922,60.574318
237.137375,60.623863,60.609135,60.569889
251.188644,60.623436,60.614311,60.57653
266.072510,60.628059,60.611145,60.581833
281.838287,60.62711,60.612141,60.579662
298.538269,60.629086,60.607948,60.579754
316.227753,60.628082,60.617378,60.581108
334.965454,60.628651,60.61776,60.587727
354.813385,60.631386,60.620502,60.588062
375.837402,60.638912,60.614819,60.58709
398.107178,60.633453,60.617725,60.587051
421.696503,60.63662,60.615032,60.5882
446.683594,60.640228,60.621281,60.58559
473.151245,60.637085,60.622734,60.587894
501.187225,60.638416,60.626381,60.590744
530.884460,60.634121,60.624054,60.591057
562.341309,60.637203,60.619019,60.58807
595.662170,60.638992,60.629154,60.589561
630.957336,60.637051,60.625587,60.588039
668.343933,60.63583,60.624046,60.593426
707.945801,60.641628,60.621693,60.592945
749.894226,60.637642,60.625809,60.582432
794.328247,60.636173,60.628864,60.589123
841.395142,60.637646,60.621906,60.592194
891.250916,60.637974,60.628437,60.594891
944.060852,60.641441,60.625954,60.58783
1000.000000,60.644821,60.624203,60.599907
1059.253784,60.641449,60.633434,60.588856
1122.018433,60.648499,60.631481,60.593468
1188.502197,60.641865,60.630882,60.597183
1258.925415,60.639984,60.628086,60.589462
1333.521484,60.639378,60.629654,60.60606
1412.537598,60.642815,60.632675,60.593945
1496.235596,60.639492,60.622063,60.599148
1584.893188,60.640678,60.624725,60.597012
1678.804077,60.633713,60.629467,60.593594
1778.279419,60.645226,60.626152,60.591778
1883.649048,60.642616,60.61974,60.597214
1995.262329,60.647564,60.637218,60.597683
2113.489014,60.647789,60.631268,60.593658
2238.721191,60.642166,60.62999,60.59914
2371.373779,60.654026,60.627598,60.594246
2511.886475,60.636658,60.627415,60.591888
2660.725098,60.626656,60.640446,60.593319
2818.382812,60.641823,60.631241,60.589687
2985.382568,60.633965,60.633732,60.580242
3162.277588,60.641041,60.619976,60.57671
3349.654297,60.641617,60.631886,60.580212
3548.133789,60.643768,60.62154,60.570831
3758.374023,60.641411,60.619492,60.582321
3981.071777,60.633881,60.61013,60.576027
4216.964844,60.6236,60.608879,60.583572
4466.835938,60.623047,60.618336,60.555176
4731.512695,60.627338,60.622791,60.569405
5011.872559,60.635811,60.598331,60.565983
5308.844238,60.619675,60.610573,60.556484
5623.413086,60.602375,60.598595,60.55962
5956.621582,60.61414,60.62318,60.553726
6309.573242,60.623112,60.589298,60.551128
6683.438965,60.599232,60.581242,60.547459
7079.458008,60.608486,60.587852,60.521152
7498.941895,60.611183,60.588108,60.527767
7943.282227,60.602013,60.588234,60.515045
8413.951172,60.620289,60.575874,60.516392
8912.509766,60.595062,60.603333,60.538868
9440.608398,60.593765,60.574711,60.513233
10000.000000,60.604492,60.576427,60.509338
10592.537109,60.599133,60.561684,60.511383
11220.184570,60.613808,60.556789,60.489098
11885.022461,60.603706,60.559769,60.494259
12589.253906,60.583218,60.573174,60.478565
13335.213867,60.59827,60.548992,60.450096
14125.375000,60.585556,60.553143,60.437233
14962.356445,60.574512,60.558819,60.427128
15848.931641,60.579712,60.562073,60.383038
16788.041016,60.581291,60.532135,60.335449
17782.794922,60.596317,60.566219,60.274208
18836.490234,60.578648,60.52486,60.227421
19952.623047,60.545834,60.557396,60.091038
21134.890625,60.565403,60.550758,59.981197
22387.210938,60.566772,60.569164,59.772247
23713.736328,60.587349,60.515205,59.579945
25118.865234,60.581188,60.49931,59.238232
26607.250000,60.586853,60.541782,58.825878
28183.830078,60.57058,60.538502,58.310711
29853.826172,60.617844,60.509918,57.721375
31622.777344,60.552181,60.532772,56.921688
33496.542969,60.601376,60.508736,56.096252
35481.339844,60.598087,60.506313,55.129078
37583.742188,60.572235,60.516941,54.030491
39810.718750,60.613754,60.517357,52.865105
42169.648438,60.583164,60.483757,51.632126
44668.359375,60.577652,60.486713,50.308178
47315.125000,60.539368,60.434685,48.945431
50118.722656,60.573376,60.430725,47.545307
53088.445312,60.55941,60.397545,46.110874
56234.132812,60.587463,60.372189,44.655846
59566.214844,60.586025,60.316528,43.212456
63095.734375,60.554886,60.20858,41.717007
66834.390625,60.576862,60.121716,40.256439
70794.578125,60.589058,59.995594,38.74752
74989.421875,60.545803,59.830353,37.290512
79432.820312,60.577087,59.548607,35.805157
84139.515625,60.558334,59.258423,34.336731
89125.093750,60.542358,58.82642,32.857475
94406.085938,60.550812,58.25766,31.331432
100000.000000,60.572121,57.60442,29.77972
105925.375000,60.538868,56.817619,28.249277
112201.843750,60.562485,55.913353,26.806171
118850.226562,60.573177,54.856674,25.269558
125892.539062,60.574059,53.714134,23.759108
133352.140625,60.542404,52.501476,22.24703
141253.750000,60.539204,51.263371,20.787237
149623.562500,60.567379,49.832436,19.161238
158489.312500,60.579098,48.469643,17.661047
167880.406250,60.544182,47.049191,16.185289
177827.937500,60.507332,45.641544,14.720805
188364.906250,60.53941,44.144817,13.187528
199526.234375,60.547798,42.69138,11.482686
211348.906250,60.523613,41.194447,10.241385
223872.109375,60.552063,39.709496,8.400093
237137.375000,60.50769,38.222065,6.876112
251188.640625,60.488605,36.738903,5.2295
266072.500000,60.475399,35.211769,4.254965
281838.281250,60.446377,33.689514,2.300318
298538.250000,60.417255,32.161575,0.939471
316227.781250,60.436142,30.652409,-0.81901
334965.437500,60.346203,29.127729,-1.844743
354813.375000,60.333965,27.637918,-4.210461
375837.406250,60.257,26.053196,-5.153026
398107.156250,60.210327,24.544722,-8.050546
421696.500000,60.134651,22.988462,-7.386091
446683.593750,60.06255,21.465862,-10.941389
473151.250000,59.990025,19.864246,-11.377874
501187.218750,59.900955,18.30999,-10.841797
530884.437500,59.74379,16.753807,-15.581182
562341.312500,59.529598,15.148868,-13.278614
595662.125000,59.272465,13.592622,-19.565794
630957.375000,58.946087,12.024467,-16.898684
668343.937500,58.46212,10.458432,-18.655548
707945.812500,57.869286,8.732485,-26.569952
749894.187500,56.991055,6.845721,-22.646069
794328.250000,55.928917,5.391496,-34.23003
841395.125000,54.623463,4.204039,-24.360615
891250.937500,53.056225,2.104468,-23.862974
944060.875000,51.310791,0.56728,-18.33024
1000000.000000,49.400417,-1.803071,-18.68693
