# LNAmplifier EEPROM Calibration Data
# Generated: 2025-10-26 12:20:57
# Point Count: 201
#
Frequency_Hz,Filter1_Gain_dB,Filter2_Gain_dB,Filter3_Gain_dB
28183.830078,60.696526,60.758232,59.349827
29853.826172,60.67775,60.724663,58.532959
31622.777344,60.720192,60.771923,57.532059
33496.542969,60.72187,60.774544,56.247993
35481.339844,60.701847,60.783978,54.786236
37583.742188,60.705189,60.778572,53.163784
39810.718750,60.716579,60.766518,51.402115
42169.648438,60.718056,60.834553,49.558418
44668.359375,60.716816,60.81715,47.635559
47315.125000,60.685032,60.848953,45.670982
50118.722656,60.691982,60.812248,43.697273
53088.445312,60.679092,60.833065,41.732056
56234.132812,60.674957,60.85424,39.732407
59566.214844,60.704762,60.869236,37.76083
63095.734375,60.686298,60.850792,35.721985
66834.390625,60.696404,60.85722,33.701042
70794.578125,60.707741,60.797279,31.727152
74989.421875,60.665939,60.694271,29.741726
79432.820312,60.651722,60.51614,27.759928
84139.515625,60.667686,60.255402,25.571785
89125.093750,60.700768,59.776699,23.732121
94406.085938,60.67477,59.173134,21.765797
100000.000000,60.675304,58.285389,19.875446
105925.375000,60.635468,57.14064,17.56823
112201.843750,60.67012,55.824932,15.787173
118850.226562,60.668648,54.277912,13.640599
125892.539062,60.651863,52.5331,11.676432
133352.140625,60.694328,50.751461,9.844414
141253.750000,60.688492,48.849987,7.51123
149623.562500,60.678722,46.903591,5.850108
158489.312500,60.679413,44.960636,3.527294
167880.406250,60.652466,42.994907,1.862209
177827.937500,60.713894,41.067917,-0.585261
188364.906250,60.605885,38.989113,-1.749278
199526.234375,60.642506,36.94709,-4.362347
211348.906250,60.629498,34.944641,-5.573565
223872.109375,60.636219,33.039864,-8.520146
237137.375000,60.593998,31.000673,-12.109598
251188.640625,60.567337,28.967539,-15.58808
266072.500000,60.560612,26.907377,-15.241427
281838.281250,60.529068,24.903383,-11.573213
298538.250000,60.513145,22.894102,-21.103306
316227.781250,60.475677,20.876656,-13.051586
334965.437500,60.487358,18.867821,-23.912891
354813.375000,60.453716,16.925928,-48.940674
375837.406250,60.396843,14.784634,-18.563553
398107.156250,60.370911,12.616068,-16.503839
421696.500000,60.296703,10.800835,-20.94581
446683.593750,60.20998,8.658785,-14.954797
473151.250000,60.109982,6.755983,-15.857249
501187.218750,59.985901,4.280585,-20.611347
530884.437500,59.797348,2.457081,-13.522584
562341.312500,59.514347,-0.381082,-14.642947
595662.125000,59.212513,-1.81315,-18.546087
630957.375000,58.735046,-3.544641,-10.091143
668343.937500,58.084316,-5.850957,-18.325653
707945.812500,57.237598,-7.13495,-9.102877
749894.187500,56.139454,-7.778545,-11.072252
794328.250000,54.864956,-8.265065,-9.998001
841395.125000,53.301659,-9.719867,-11.160342
891250.937500,51.542442,-9.622539,-12.924761
944060.875000,49.678787,-9.777156,-12.145746
1000000.000000,47.681469,-10.600445,-9.533308
